time_hr,solid_pressurizer,bubble_phase,pressure_psia,pzr_level_pct,pzr_mass_lbm,pzr_total_enthalpy_btu,closure_phase_fraction
0.000000,1,NONE,114.700000,100.000000,110527.200000,10120390.000000,0.000000
0.002778,1,NONE,114.664700,100.000000,110527.200000,10120390.000000,0.000000
0.005556,1,NONE,114.629500,100.000000,110527.200000,10120390.000000,0.000000
0.008333,1,NONE,114.594200,100.000000,110527.200000,10120390.000000,0.000000
0.011111,1,NONE,114.558900,100.000000,110527.200000,10120390.000000,0.000000
0.013889,1,NONE,114.523600,100.000000,110527.200000,10120390.000000,0.000000
0.016667,1,NONE,114.488400,100.000000,110527.200000,10120390.000000,0.000000
0.019444,1,NONE,114.847500,100.000000,110527.200000,10120390.000000,0.000000
0.022222,1,NONE,115.206500,100.000000,110527.200000,10120390.000000,0.000000
0.025000,1,NONE,115.565600,100.000000,110527.200000,10120390.000000,0.000000
0.027778,1,NONE,115.924700,100.000000,110527.200000,10120390.000000,0.000000
0.030556,1,NONE,116.283800,100.000000,110527.200000,10120390.000000,0.000000
0.033333,1,NONE,116.858600,100.000000,110527.200000,10120390.000000,0.000000
0.036111,1,NONE,117.564500,100.000000,110527.200000,10120390.000000,0.000000
0.038889,1,NONE,118.349900,100.000000,110527.200000,10120390.000000,0.000000
0.041667,1,NONE,119.183800,100.000000,110527.200000,10120390.000000,0.000000
0.044444,1,NONE,120.047200,100.000000,110527.200000,10120390.000000,0.000000
0.047222,1,NONE,120.928700,100.000000,110527.200000,10120390.000000,0.000000
0.050000,1,NONE,121.821300,100.000000,110527.200000,10120390.000000,0.000000
0.052778,1,NONE,122.720600,100.000000,110527.200000,10120390.000000,0.000000
0.055556,1,NONE,123.624300,100.000000,110527.200000,10120390.000000,0.000000
0.058333,1,NONE,124.530700,100.000000,110527.200000,10120390.000000,0.000000
0.061111,1,NONE,125.438800,100.000000,110527.200000,10120390.000000,0.000000
0.063889,1,NONE,126.348200,100.000000,110527.200000,10120390.000000,0.000000
